trade_date,code,score
2024-05-10,128095.SZ,-0.3161863776785407
2024-05-10,128097.SZ,-0.24353636579182
2024-05-10,128101.SZ,0.23741062118559222
2024-05-10,128105.SZ,-0.11343298346904183
2024-05-10,128106.SZ,-0.009075591682386468
2024-05-10,128109.SZ,-0.39264274167109015
2024-05-10,128119.SZ,-0.0706262764765071
2024-05-10,128120.SZ,-0.04356140154305056
2024-05-10,128122.SZ,0.06683543337222161
2024-05-10,128123.SZ,-0.08954775922013428
2024-05-10,128125.SZ,-0.09787877170549833
2024-05-10,128128.SZ,0.287366756797312
2024-05-10,128129.SZ,-0.12238930592521674
2024-05-10,128131.SZ,0.3747614359246409
2024-05-10,128133.SZ,0.19760758373739878
2024-05-10,128134.SZ,-0.07853996260476565
2024-05-10,128135.SZ,0.0033161870184173336
2024-05-10,128136.SZ,0.15049398048739795
2024-05-10,128138.SZ,-0.07795523345783598
2024-05-10,128141.SZ,-0.08194431506060249
2024-05-10,128143.SZ,0.09022107146119754
2024-05-10,128144.SZ,0.17402772353716692
